dish_name,description,spice,views,rating,number_of_votes,serves,dietary_info,ingredients,instructions,prep_time,cook_time
Pistachio chicken,Mild chicken in a creamy pistachio sauce,mild,11604,4.1,18.0,4.0,['CONTAINS-NUTS'],"['600g chicken thighs, cut into chunks', '100g Pistachios, blanched', '1 medium onion, chopped finely', '7cm piece ginger, roughly chopped', '2-3 green chillies 6 garlic cloves', '½ small bunch of fresh coriander leaves', '200g yoghurt ½ tsp turmeric powder', 'Salt to taste', '2 tbsp ghee', '2 cloves', '15 black peppercorns', '4 green cardamoms, cracked', '1 bay leaf', '2 inch cassia bark', '1 tsp cumin seeds', 'Fresh cream for garnish', 'Fresh coriander to garnish</li>']","['Boil enough water to cover the pistachios, add them and blanch for about 5 minutes.', 'Drain and put them into cold water so they stay green.', 'Squish them in your fingers to remove the skins. Discard the skin and place the pistachios in a bowl for later.', 'Put the chicken in a large bowl and add yoghurt, turmeric powder, salt and mix well.', 'Heat ghee and add cloves, black peppercorns, green cardamoms, bay leaf and cassia and sauté until fragrant. Add minced onion and and cook to soften for 5-10 minutes.', 'Add ginger, green chillies, garlic and sauté until soft. Stir in the pistachios and stil for 2-3 minutes. Remove the pan from the heat and let it cool for a while.', 'Remove the bay leaf and cassia bark. Pour into a large jug and add a handful of fresh coriander leaves and about 130 ml of water and with a stick blender and blitz to a fine purée.', 'In the same pan heat a tbsp of ghee and add cumin seeds until they sizzle and put the cassia and bay back to the pan. Add the marinated chicken and sauté on high heat for 3-4 minutes.', 'Pour in the blended pistachio paste with some salt and mix well. Cover the pan and cook for 25 minutes, stirring occasionally until cooked through.', 'Transfer into a serving bowl. Garnish with fresh cream, coriander and slivers of pistachios.']",10,30
Tangy Fried Okra,Bhindi with Amchoor,medium,49899,4.6,35.0,4.0,['VEGETARIAN'],"['500g okra', '3 tbsp mustard oil', '1 onion, finely sliced', '2 tsp coriander seeds', '1 dried red chilli/1tsp chilli flakes', '1 tsp salt', '1 tsp turmeric', '1 tsp garam masala', '2 tsp amchoor powder (dried mango powder)']","['Wash and thoroughly dry the okra (kitchen roll is great for this).', 'Remove the tops and slice the okra in half lengthways. Place the coriander seeds and red chilli into the pestle and mortar and pound until you have a coarse powder, then leave to one side.', 'Heat the oil in a wok or non-stick pan on a medium heat, then stir in the sliced onions and cook until they just begin to brown.', 'Add the okra and fry for about ten minutes, stirring now and then.', 'Add the salt, turmeric along with the coriander and chilli mixture. Reduce the heat and leave the okra to cook for five more minutes (do not cover the pan).', 'Once cooked, remove from the heat, sprinkle with garam masala and dust with the armchoor powder to serve.']",10,15
Healthy Chicken Korma,Chicken in Creamy Almond Sauce,mild,115569,3.6,163.0,4.0,['CONTAINS-NUTS'],"['6-8 tbsp natural yoghurt', '1 tsp turmeric', '1 tsp cumin seeds, ground', '1 tsp cinnamon powder', '1 tsp coriander seeds, ground', 'Pinch of saffron threads', '3cm fresh ginger, grated', '4 cloves garlic, crushed', '4 skinless free range chicken breast cubed', '1 tbsp rapeseed oil', '1 onion very finely chopped or grated', '2–3 tbsp ground almonds', '2 tbsp ground coconut', '1 tbsp flaked toasted almonds', 'large pinch fresh coriander, chopped']","['Grind your whole spices in a spice grinder.', 'Place the yoghurt into a bowl with the turmeric, cumin, cinnamon, coriander, saffron, ginger and garlic and mix well to combine the flavours.', 'Add the chicken pieces into the yoghurt mixture and coat all the chicken. Leave to marinade for as long as possible.', ""Heat some oil in a pan and cook the onion until it softens and just starts turning golden (you don't want them too brown). If the onions catch on the bottom of the pan, just add a splash of water to help them cook down."", 'Add the chicken and marinade to the pan and stir until the meat just starts to cook.', 'Reduce the heat and place the lid on the pan and leave to cook for 5 minutes.', 'Remove the lid and stir in the ground almonds and coconut. If it seems dry, add a little splash of hot water and allow the chicken to cook for a couple of minutes until the chicken is cooked through.\xa0Remove the pan from the heat.', 'Toast some almond slivers in a dry pan until golden, remove and set to one side.', 'When ready to serve, add some fresh coriander and the toasted almonds.']",10,20
Brown Lentil Dhal,Sabut Masoor di Dhal,medium,146798,3.7,87.0,4.0,['VEGETARIAN'],"['200g brown lentils', 'Approx. 1L of water']","['Place the lentils in the pressure cooker with about 700ml of cold water and one tsp salt.', 'Put the lid on the pan and secure it as instructed. Bring to the boil and allow the cooker to whistle three times.', 'Reduce heat and leave it to simmer for 10 minutes. Remove from the heat and leave to cool - DO NOT REMOVE THE LID.', 'In a frying pan heat the butter and add the onions and fry until lightly browned. Reduce the heat and add the tomatoes, ginger, chilli, turmeric and cook down so the tomatoes and onions melt, creating a thick masala paste. This will take about 10 minutes.', 'Ensure the steam has been released from the pressure cooker and open the lid.', 'Check the dhal is cooked by squeezing some lentils between your fingers. If they are still hard check the water level (add a little more if required) and re-place lid on the cooker and repeat as per step 2. Once the lentils are soft they are ready.', 'Add the masala paste to the cooked dhal and cook together for a few minutes.', 'Sprinkle in the garam masala and coriander to serve.']",10,20
Thari Wala Chicken,Healthy Chicken Curry,medium,262696,3.5,343.0,4.0,['LACTOSE-FREE'],['8 pieces of chicken (4 legs cut into thigh and drumsticks)'],"['Skin the chicken, removing any excess fat.', 'Heat oil in a pan and add the onion and garlic. Fry on a high heat for a few minutes then reduce the heat and cook gently for about 20 minutes until they turn a lovely dark golden brown. If they stick to the bottom of the pan reduce the heat and add a dash of hot water as and when required.', 'Once browned add the tinned tomatoes, ginger, salt, turmeric, coriander stalks and chopped chilli. Increase the heat to high.', 'Let the onions and tomatoes melt together creating a thick aromatic masala paste. This will take about 5-10 minutes so be patient! Once the paste is shiny and thick add the chicken pieces and stir to coat.', 'Turn the heat up and fry the chicken for 5 minutes.', 'Reduce the heat to the lowest setting and put the lid on the pan. Leave to cook for 20 - 25 minutes until the chicken is cooked and the meat is starting to fall away from the bone.', 'Once cooked, add enough boiling water to just cover the chicken and cook for another few minutes then remove from the heat.', 'Stir in the garam masala, throw in the coriander and serve.']",10,40
Achaari Bangun,Aubergine and Potato Curry with Pickling Spices,hot,21891,3.7,18.0,4.0,['VEGETARIAN'],"['1 tsp fennel seeds', '1 tsp mustard seeds', '1 tsp fenugreek seeds', '1 tsp nigella seeds (kalonji)', '½ tsp cumin seeds', '½ tsp chilli flakes']","[""In a heavy bottom pan, dry roast all the spices on a medium low heat until fragrant and nutty. Shake the pan so they don't burn. Remove from the heat and put into a bowl so they don't continue to cook."", 'Allow the spices to cool completely then in a spice grinder blitz to a fine powder.']",10,30
Aloo Bangun,Potato Aubergine Curry,medium,98155,3.4,91.0,4.0,['VEGETARIAN'],"['2 aubergines, cut into 3cm lengths', '2 potatoes, peeled and cut into 3cm lengths', '2 tbsp mustard oil', '1 tsp mustard seeds', '1 tsp\xa0cumin seeds', '1 onion, finely sliced', '200g/½\xa0tin tomatoes', '1 tbsp ginger, grated', '1 tsp\xa0salt', '1 tsp turmeric', '1 chilli, finely chopped', '1 tsp garam masala', 'Handful fresh coriander,\xa0chopped']","['Heat the oil in a wok or karahi and add 1 tsb of mustard seeds. Once sizzling, add 1 tsp cumin seeds and fry until they become fragrant.', 'Then add 1 sliced onion and continue to cook until soft and lightly browned. .', 'Reduce the heat a little and add 200 g tomatoes, 1 tsp salt, 1 tsp turmeric, 1 finely chopped chilli and 1 tbsp grated ginger. .', 'Cook until the onions and tomatoes melt together to create a thick, aromatic masala paste (5-10 minutes). .', 'Add 2 cubed potatoes and stir to coat with the sauce. Reduce the heat cover the pan with the lid and leave to cook for 5 minutes. Add a little drop of water if required. .', 'Stir in the 2 cubed aubergines and coat them with the masala. .', 'Replace lid and leave to cook for 25-30 minutes stirring occasionally, until cooked through. .', 'Once soft and cooked through sprinkle the curry with garam masala and fresh coriander before serving.']",10,40
Bombay Aloo,Masala Potatoes,hot,212940,3.3,152.0,4.0,['VEGETARIAN'],"['1 tbsp vegetable\xa0oil', '1 tsp mustard seeds', '5 curry leaves', '1 onion, sliced', '2 green chillies, finely chopped', '1 tsp cumin seeds', '1 tsp coriander seeds', '½ tsp red chilli powder (optional)', '½ tsp turmeric', '1 tsp salt', '2 potatoes, cut into chunks', '1 tsp garam masala', 'Handful fresh coriander, finely chopped']","['Heat the oil in a pan and add the mustard seeds and curry leaves.', 'Once the mustard seeds splutter stir in the onions and cook until they turn a light golden brown colour.', 'Place the coriander and cumin seeds into a pestle and mortar and pound to a powder. Add this, the turmeric, green chillies and chilli powder to the onions.', 'After a minute the spices will become fragrant, stir in the potatoes and salt then cook for about 5 minutes.', 'Reduce the heat and stir in a splash of water. Place the lid on the pan and leave to steam for about 15-20 minutes until the potatoes are soft.', 'Remove from the heat and finish with one teaspoon garam masala and a handful of fresh coriander.']",10,30
Coriander Fish,Thania Machchi,medium,68518,3.9,18.0,4.0,['LACTOSE-FREE'],"['4-6 pieces of white fish, washed and dried', '1 tbsp turmeric powder', '1 tsp salt', '2 tbsp oil']",['Sprinkle the fish with salt and turmeric powder and leave to marinade for 15 minutes.'],5,15
Hariyali Chicken,Green Chicken Tikka,medium,71504,3.9,62.0,6.0,[],"['6 chicken thigh fillets, trimmed and skinned']","['Clean, wash and pat dry the chicken pieces.', 'Put the cumin seeds into a pestle and mortar and roughly crush the seeds.', 'Place the mint, coriander, ginger, garlic, chillies, lemon juice, salt and oil into a blender and blitz to a paste.', 'Empty this paste into a bowl and mix in the yoghurt and crushed cumin seeds.', 'Combine the chicken and the marinade and let it sit for at least 30 minutes but overnight is better.', 'Cook in the oven at 180°C for 25 minutes or on the barbecue for about 10-15 minutes until cooked through.']",10,20
